,Date (MST),Date (MPT),Asset Short Name,Asset Name,Asset Grouping,Volume,Maximum Capability,System Capability,Fuel Type,Sub Fuel Type,Planning Area,Region,timestamp
177120,2020-02-19 01:00:00,2020-02-19 01:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177121,2020-02-19 02:00:00,2020-02-19 02:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177122,2020-02-19 03:00:00,2020-02-19 03:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177123,2020-02-19 04:00:00,2020-02-19 04:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177124,2020-02-19 05:00:00,2020-02-19 05:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177125,2020-02-19 06:00:00,2020-02-19 06:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177126,2020-02-19 07:00:00,2020-02-19 07:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177127,2020-02-19 08:00:00,2020-02-19 08:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177128,2020-02-19 09:00:00,2020-02-19 09:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177129,2020-02-19 10:00:00,2020-02-19 10:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177130,2020-02-19 11:00:00,2020-02-19 11:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177131,2020-02-19 12:00:00,2020-02-19 12:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177132,2020-02-19 13:00:00,2020-02-19 13:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177133,2020-02-19 14:00:00,2020-02-19 14:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177134,2020-02-19 15:00:00,2020-02-19 15:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177135,2020-02-19 16:00:00,2020-02-19 16:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177136,2020-02-19 17:00:00,2020-02-19 17:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177137,2020-02-19 18:00:00,2020-02-19 18:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177138,2020-02-19 19:00:00,2020-02-19 19:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177139,2020-02-19 20:00:00,2020-02-19 20:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
177140,2020-02-19 21:00:00,2020-02-19 21:00:00,VXH1,VXH1 Vauxhall,VXH1,0.0,22.0,22.0,SOLAR,SOLAR,52,South,2020-02-19
